1 - Hashing Dinamico
2 - Importar CSV
9 - Ligar Servidor

[  0]     0 = ActualPower:7 | CurrentSize:6 | [ {ID:128 Address: 7C7C} {ID:256 Address: F9CA} {ID:384 Address:1778D} {ID:512 Address:1F709} {ID:640 Address:27AC0} {ID:768 Address:2D987}                                                                                                                    ]
[ 41]  1E00 = ActualPower:7 | CurrentSize:7 | [ {ID: 41 Address: 26E3} {ID:169 Address: A4A2} {ID:297 Address:12217} {ID:425 Address:1A009} {ID:553 Address:22188} {ID:681 Address:29AF8} {ID:809 Address:2F75F}                                                                                             ]
[ 42]  1EC0 = ActualPower:7 | CurrentSize:7 | [ {ID: 42 Address: 27DF} {ID:170 Address: A5A0} {ID:298 Address:1231C} {ID:426 Address:1A10F} {ID:554 Address:222A1} {ID:682 Address:29BB5} {ID:810 Address:2F7FF}                                                                                             ]
[ 43]  1F80 = ActualPower:7 | CurrentSize:7 | [ {ID: 43 Address: 28DD} {ID:171 Address: A69B} {ID:299 Address:1241E} {ID:427 Address:1A206} {ID:555 Address:223A2} {ID:683 Address:29C69} {ID:811 Address:2F89D}                                                                                             ]
[ 44]  2040 = ActualPower:7 | CurrentSize:7 | [ {ID: 44 Address: 29E1} {ID:172 Address: A797} {ID:300 Address:1251A} {ID:428 Address:1A2FD} {ID:556 Address:224AA} {ID:684 Address:29D1F} {ID:812 Address:2F93A}                                                                                             ]
[ 45]  2100 = ActualPower:7 | CurrentSize:7 | [ {ID: 45 Address: 2AE0} {ID:173 Address: A897} {ID:301 Address:1260F} {ID:429 Address:1A3F6} {ID:557 Address:2259F} {ID:685 Address:29DD8} {ID:813 Address:2F9DA}                                                                                             ]
[ 46]  21C0 = ActualPower:7 | CurrentSize:7 | [ {ID: 46 Address: 2BDF} {ID:174 Address: A995} {ID:302 Address:12701} {ID:430 Address:1A4FA} {ID:558 Address:226B4} {ID:686 Address:29E8D} {ID:814 Address:2FA78}                                                                                             ]
[ 47]  2280 = ActualPower:7 | CurrentSize:7 | [ {ID: 47 Address: 2CC7} {ID:175 Address: AA89} {ID:303 Address:127FA} {ID:431 Address:1A602} {ID:559 Address:227CA} {ID:687 Address:29F49} {ID:815 Address:2FB16}                                                                                             ]
[ 48]  2340 = ActualPower:7 | CurrentSize:7 | [ {ID: 48 Address: 2DC6} {ID:176 Address: AB7E} {ID:304 Address:128F3} {ID:432 Address:1A700} {ID:560 Address:228C7} {ID:688 Address:2A007} {ID:816 Address:2FBB5}                                                                                             ]
[ 49]  2400 = ActualPower:7 | CurrentSize:7 | [ {ID: 49 Address: 2EB7} {ID:177 Address: AC71} {ID:305 Address:129F3} {ID:433 Address:1A808} {ID:561 Address:229D4} {ID:689 Address:2A0BE} {ID:817 Address:2FC5A}                                                                                             ]
[ 50]  24C0 = ActualPower:7 | CurrentSize:7 | [ {ID: 50 Address: 2FBA} {ID:178 Address: AD75} {ID:306 Address:12AEF} {ID:434 Address:1A906} {ID:562 Address:22AE6} {ID:690 Address:2A179} {ID:818 Address:2FCFF}                                                                                             ]
[ 51]  2580 = ActualPower:7 | CurrentSize:7 | [ {ID: 51 Address: 30B2} {ID:179 Address: AE75} {ID:307 Address:12BF0} {ID:435 Address:1AA08} {ID:563 Address:22BF7} {ID:691 Address:2A231} {ID:819 Address:2FDA4}                                                                                             ]
[ 52]  2640 = ActualPower:7 | CurrentSize:7 | [ {ID: 52 Address: 31A7} {ID:180 Address: AF6D} {ID:308 Address:12CFD} {ID:436 Address:1AB0F} {ID:564 Address:22D00} {ID:692 Address:2A2EE} {ID:820 Address:2FE44}                                                                                             ]
[ 53]  2700 = ActualPower:7 | CurrentSize:7 | [ {ID: 53 Address: 3296} {ID:181 Address: B06B} {ID:309 Address:12E00} {ID:437 Address:1AC0D} {ID:565 Address:22E14} {ID:693 Address:2A3A4} {ID:821 Address:2FEE4}                                                                                             ]
[ 54]  27C0 = ActualPower:7 | CurrentSize:7 | [ {ID: 54 Address: 3399} {ID:182 Address: B16D} {ID:310 Address:12EFB} {ID:438 Address:1AD1C} {ID:566 Address:22F14} {ID:694 Address:2A459} {ID:822 Address:2FF87}                                                                                             ]
[ 55]  2880 = ActualPower:7 | CurrentSize:7 | [ {ID: 55 Address: 3496} {ID:183 Address: B263} {ID:311 Address:13000} {ID:439 Address:1AE18} {ID:567 Address:2300C} {ID:695 Address:2A518} {ID:823 Address:30026}                                                                                             ]
[ 56]  2940 = ActualPower:7 | CurrentSize:7 | [ {ID: 56 Address: 3589} {ID:184 Address: B366} {ID:312 Address:130F4} {ID:440 Address:1AF0C} {ID:568 Address:23118} {ID:696 Address:2A5D7} {ID:824 Address:300CA}                                                                                             ]
[ 57]  2A00 = ActualPower:7 | CurrentSize:7 | [ {ID: 57 Address: 3685} {ID:185 Address: B45A} {ID:313 Address:131E8} {ID:441 Address:1B00C} {ID:569 Address:23224} {ID:697 Address:2A68F} {ID:825 Address:30166}                                                                                             ]
[ 58]  2AC0 = ActualPower:7 | CurrentSize:7 | [ {ID: 58 Address: 378B} {ID:186 Address: B555} {ID:314 Address:132E2} {ID:442 Address:1B103} {ID:570 Address:23339} {ID:698 Address:2A747} {ID:826 Address:3020A}                                                                                             ]
[ 59]  2B80 = ActualPower:7 | CurrentSize:7 | [ {ID: 59 Address: 3884} {ID:187 Address: B637} {ID:315 Address:133CE} {ID:443 Address:1B208} {ID:571 Address:2343B} {ID:699 Address:2A7F8} {ID:827 Address:302B2}                                                                                             ]
[ 60]  2C40 = ActualPower:7 | CurrentSize:7 | [ {ID: 60 Address: 3971} {ID:188 Address: B73D} {ID:316 Address:134D0} {ID:444 Address:1B312} {ID:572 Address:2354E} {ID:700 Address:2A8AD} {ID:828 Address:3034D}                                                                                             ]
[ 61]  2D00 = ActualPower:7 | CurrentSize:7 | [ {ID: 61 Address: 3A6E} {ID:189 Address: B83D} {ID:317 Address:135CE} {ID:445 Address:1B403} {ID:573 Address:23656} {ID:701 Address:2A966} {ID:829 Address:303E8}                                                                                             ]
[ 62]  2DC0 = ActualPower:7 | CurrentSize:7 | [ {ID: 62 Address: 3B62} {ID:190 Address: B931} {ID:318 Address:136C2} {ID:446 Address:1B50B} {ID:574 Address:23760} {ID:702 Address:2AA25} {ID:830 Address:3048A}                                                                                             ]
[ 63]  2E80 = ActualPower:7 | CurrentSize:7 | [ {ID: 63 Address: 3C62} {ID:191 Address: BA26} {ID:319 Address:137B8} {ID:447 Address:1B5FE} {ID:575 Address:2386D} {ID:703 Address:2AADD} {ID:831 Address:3052F}                                                                                             ]
[ 64]  5F40 = ActualPower:7 | CurrentSize:7 | [ {ID: 64 Address: 3D58} {ID:192 Address: BB26} {ID:320 Address:138B7} {ID:448 Address:1B6F9} {ID:576 Address:2397C} {ID:704 Address:2AB8F} {ID:832 Address:305CE}                                                                                             ]
[ 65]  3000 = ActualPower:7 | CurrentSize:7 | [ {ID: 65 Address: 3E4C} {ID:193 Address: BC12} {ID:321 Address:139B3} {ID:449 Address:1B801} {ID:577 Address:23A8C} {ID:705 Address:2AC40} {ID:833 Address:3066D}                                                                                             ]
[ 66]  30C0 = ActualPower:7 | CurrentSize:7 | [ {ID: 66 Address: 3F3B} {ID:194 Address: BD19} {ID:322 Address:13AB0} {ID:450 Address:1B902} {ID:578 Address:23B7F} {ID:706 Address:2ACF5} {ID:834 Address:3070E}                                                                                             ]
[ 67]  3180 = ActualPower:7 | CurrentSize:7 | [ {ID: 67 Address: 4041} {ID:195 Address: BE1A} {ID:323 Address:13BA5} {ID:451 Address:1B9FC} {ID:579 Address:23C8B} {ID:707 Address:2ADA9} {ID:835 Address:307AF}                                                                                             ]
[ 68]  3240 = ActualPower:7 | CurrentSize:7 | [ {ID: 68 Address: 4138} {ID:196 Address: BF1F} {ID:324 Address:13CA4} {ID:452 Address:1BAFD} {ID:580 Address:23D94} {ID:708 Address:2AE63} {ID:836 Address:30850}                                                                                             ]
[ 69]  3300 = ActualPower:7 | CurrentSize:7 | [ {ID: 69 Address: 422C} {ID:197 Address: C00C} {ID:325 Address:13D8F} {ID:453 Address:1BC02} {ID:581 Address:23E90} {ID:709 Address:2AF16} {ID:837 Address:308EF}                                                                                             ]
[ 70]  33C0 = ActualPower:7 | CurrentSize:7 | [ {ID: 70 Address: 4321} {ID:198 Address: C10F} {ID:326 Address:13E8B} {ID:454 Address:1BD07} {ID:582 Address:23FA1} {ID:710 Address:2AFD2} {ID:838 Address:3098B}                                                                                             ]
[ 71]  3480 = ActualPower:7 | CurrentSize:7 | [ {ID: 71 Address: 4425} {ID:199 Address: C214} {ID:327 Address:13F8D} {ID:455 Address:1BE14} {ID:583 Address:240A0} {ID:711 Address:2B08B} {ID:839 Address:30A2B}                                                                                             ]
[ 72]  3540 = ActualPower:7 | CurrentSize:7 | [ {ID: 72 Address: 4530} {ID:200 Address: C2F8} {ID:328 Address:14084} {ID:456 Address:1BF1D} {ID:584 Address:24199} {ID:712 Address:2B144} {ID:840 Address:30ACB}                                                                                             ]
[ 73]  3600 = ActualPower:7 | CurrentSize:7 | [ {ID: 73 Address: 4631} {ID:201 Address: C3E6} {ID:329 Address:14185} {ID:457 Address:1C009} {ID:585 Address:24299} {ID:713 Address:2B1F8} {ID:841 Address:30B74}                                                                                             ]
[ 74]  36C0 = ActualPower:7 | CurrentSize:7 | [ {ID: 74 Address: 4731} {ID:202 Address: C4E2} {ID:330 Address:14285} {ID:458 Address:1C106} {ID:586 Address:243A9} {ID:714 Address:2B2AA} {ID:842 Address:30C1D}                                                                                             ]
[ 75]  3780 = ActualPower:7 | CurrentSize:7 | [ {ID: 75 Address: 4832} {ID:203 Address: C5E3} {ID:331 Address:14387} {ID:459 Address:1C1FC} {ID:587 Address:244BC} {ID:715 Address:2B368} {ID:843 Address:30CC8}                                                                                             ]
[ 76]  3840 = ActualPower:7 | CurrentSize:7 | [ {ID: 76 Address: 4934} {ID:204 Address: C6EC} {ID:332 Address:14476} {ID:460 Address:1C2F8} {ID:588 Address:245C9} {ID:716 Address:2B426} {ID:844 Address:30D6C}                                                                                             ]
[ 77]  3900 = ActualPower:7 | CurrentSize:7 | [ {ID: 77 Address: 4A2F} {ID:205 Address: C7E6} {ID:333 Address:1456C} {ID:461 Address:1C3FE} {ID:589 Address:246CD} {ID:717 Address:2B4D7} {ID:845 Address:30E10}                                                                                             ]
[ 78]  39C0 = ActualPower:7 | CurrentSize:7 | [ {ID: 78 Address: 4B2D} {ID:206 Address: C8E9} {ID:334 Address:1466A} {ID:462 Address:1C4F1} {ID:590 Address:247D8} {ID:718 Address:2B594} {ID:846 Address:30EB3}                                                                                             ]
[ 79]  3A80 = ActualPower:7 | CurrentSize:7 | [ {ID: 79 Address: 4C24} {ID:207 Address: C9DF} {ID:335 Address:14768} {ID:463 Address:1C5FC} {ID:591 Address:248F2} {ID:719 Address:2B649} {ID:847 Address:30F50}                                                                                             ]
[ 80]  3B40 = ActualPower:7 | CurrentSize:7 | [ {ID: 80 Address: 4D20} {ID:208 Address: CAF1} {ID:336 Address:14861} {ID:464 Address:1C6FA} {ID:592 Address:249F0} {ID:720 Address:2B703} {ID:848 Address:30FEF}                                                                                             ]
[ 81]  3C00 = ActualPower:7 | CurrentSize:7 | [ {ID: 81 Address: 4E21} {ID:209 Address: CBFA} {ID:337 Address:14961} {ID:465 Address:1C7FD} {ID:593 Address:24AEF} {ID:721 Address:2B7B7} {ID:849 Address:31095}                                                                                             ]
[ 82]  3CC0 = ActualPower:7 | CurrentSize:7 | [ {ID: 82 Address: 4F13} {ID:210 Address: CCE4} {ID:338 Address:14A6A} {ID:466 Address:1C8F3} {ID:594 Address:24BFD} {ID:722 Address:2B871} {ID:850 Address:3113B}                                                                                             ]
[ 83]  3D80 = ActualPower:7 | CurrentSize:7 | [ {ID: 83 Address: 501A} {ID:211 Address: CDE4} {ID:339 Address:14B64} {ID:467 Address:1C9F7} {ID:595 Address:24D0C} {ID:723 Address:2B92B} {ID:851 Address:311DE}                                                                                             ]
[ 84]  3E40 = ActualPower:7 | CurrentSize:7 | [ {ID: 84 Address: 5126} {ID:212 Address: CEE8} {ID:340 Address:14C66} {ID:468 Address:1CAF0} {ID:596 Address:24E21} {ID:724 Address:2B9E9} {ID:852 Address:31281}                                                                                             ]
[ 85]  3F00 = ActualPower:7 | CurrentSize:7 | [ {ID: 85 Address: 5228} {ID:213 Address: CFE5} {ID:341 Address:14D6A} {ID:469 Address:1CBF4} {ID:597 Address:24F3D} {ID:725 Address:2BAAA} {ID:853 Address:31324}                                                                                             ]
[ 86]  3FC0 = ActualPower:7 | CurrentSize:7 | [ {ID: 86 Address: 5332} {ID:214 Address: D0D6} {ID:342 Address:14E61} {ID:470 Address:1CCF4} {ID:598 Address:25037} {ID:726 Address:2BB5A} {ID:854 Address:313C7}                                                                                             ]
[ 87]  4080 = ActualPower:7 | CurrentSize:7 | [ {ID: 87 Address: 542E} {ID:215 Address: D1DD} {ID:343 Address:14F5A} {ID:471 Address:1CDF2} {ID:599 Address:25137} {ID:727 Address:2BC0E} {ID:855 Address:31469}                                                                                             ]
[ 88]  4140 = ActualPower:7 | CurrentSize:7 | [ {ID: 88 Address: 5514} {ID:216 Address: D2E2} {ID:344 Address:15059} {ID:472 Address:1CEF2} {ID:600 Address:2521B} {ID:728 Address:2BCC2} {ID:856 Address:3150B}                                                                                             ]
[ 89]  4200 = ActualPower:7 | CurrentSize:7 | [ {ID: 89 Address: 5615} {ID:217 Address: D3E2} {ID:345 Address:15163} {ID:473 Address:1CFFF} {ID:601 Address:25324} {ID:729 Address:2BD73} {ID:857 Address:315AA}                                                                                             ]
[ 90]  42C0 = ActualPower:7 | CurrentSize:7 | [ {ID: 90 Address: 570A} {ID:218 Address: D4D3} {ID:346 Address:15251} {ID:474 Address:1D0F6} {ID:602 Address:2540B} {ID:730 Address:2BE28} {ID:858 Address:3164B}                                                                                             ]
[ 91]  4380 = ActualPower:7 | CurrentSize:7 | [ {ID: 91 Address: 580B} {ID:219 Address: D5C1} {ID:347 Address:1534E} {ID:475 Address:1D1EF} {ID:603 Address:25520} {ID:731 Address:2BEE1} {ID:859 Address:316F1}                                                                                             ]
[ 92]  4440 = ActualPower:7 | CurrentSize:7 | [ {ID: 92 Address: 590A} {ID:220 Address: D6BC} {ID:348 Address:1544C} {ID:476 Address:1D2F4} {ID:604 Address:2562E} {ID:732 Address:2BF9B} {ID:860 Address:31792}                                                                                             ]
[ 93]  4500 = ActualPower:7 | CurrentSize:7 | [ {ID: 93 Address: 59FB} {ID:221 Address: D7BA} {ID:349 Address:15531} {ID:477 Address:1D3E0} {ID:605 Address:25737} {ID:733 Address:2C059} {ID:861 Address:31836}                                                                                             ]
[ 94]  45C0 = ActualPower:7 | CurrentSize:7 | [ {ID: 94 Address: 5AFD} {ID:222 Address: D8B4} {ID:350 Address:15622} {ID:478 Address:1D4C5} {ID:606 Address:2582A} {ID:734 Address:2C113} {ID:862 Address:318DA}                                                                                             ]
[ 95]  4680 = ActualPower:7 | CurrentSize:7 | [ {ID: 95 Address: 5BF6} {ID:223 Address: D9A8} {ID:351 Address:15722} {ID:479 Address:1D5C8} {ID:607 Address:25919} {ID:735 Address:2C1CA} {ID:863 Address:31980}                                                                                             ]
[ 96]  4740 = ActualPower:7 | CurrentSize:7 | [ {ID: 96 Address: 5CE9} {ID:224 Address: DAA5} {ID:352 Address:1581D} {ID:480 Address:1D6C6} {ID:608 Address:25A1B} {ID:736 Address:2C280} {ID:864 Address:31A1F}                                                                                             ]
[ 97]  4800 = ActualPower:7 | CurrentSize:7 | [ {ID: 97 Address: 5DDC} {ID:225 Address: DBA0} {ID:353 Address:15920} {ID:481 Address:1D7BD} {ID:609 Address:25AFC} {ID:737 Address:2C330} {ID:865 Address:31ABD}                                                                                             ]
[ 98]  48C0 = ActualPower:7 | CurrentSize:7 | [ {ID: 98 Address: 5EDC} {ID:226 Address: DCA7} {ID:354 Address:15A1D} {ID:482 Address:1D8B9} {ID:610 Address:25BEF} {ID:738 Address:2C3EA} {ID:866 Address:31B62}                                                                                             ]
[ 99]  4980 = ActualPower:7 | CurrentSize:7 | [ {ID: 99 Address: 5FD6} {ID:227 Address: DDAA} {ID:355 Address:15B21} {ID:483 Address:1D9B2} {ID:611 Address:25CF5} {ID:739 Address:2C4A8} {ID:867 Address:31C08}                                                                                             ]
